code,name,unit,price,quantity,category
"AB-1627","LIMON EN POLVO",UNO,"70",119,"ALIMENTOS",
"AB-1635","TE",UNO,"40",0,"ALIMENTOS",
"AB-1723","COFFEE MATE",UNO,"2000",0,"ALIMENTOS",
"AL-1243","ACEITE 10W 30 SINTETICO 4 Lt",Lt,"3500",54.6,"ACEITES Y LUBRICANTES",
"AL-1245","SPRAY LIMPIA CADENA",UNO,"2000",4,"ACEITES Y LUBRICANTES",
"AL-1246","SPRAY AFLOJA TORNILLO",UNO,"2000",0,"ACEITES Y LUBRICANTES",
"AL-1247","LIMPIA CARBURADOR",UNO,"2000",0,"ACEITES Y LUBRICANTES",
"AL-1248","ACEITE 15W 40 GASOLINA",Lt,"3250",507.6,"ACEITES Y LUBRICANTES",
"AL-1249","ACEITE 20 W 40 GASOLINA",Lt,"3250",929.3,"ACEITES Y LUBRICANTES",
"AL-1250","ACEITE SAE DIESEL",Lt,"3250",94.0000000000001,"ACEITES Y LUBRICANTES",
"AL-1251","ACEITE 10 W 40 4T MOLINOL 1L",Lt,"4000",3,"ACEITES Y LUBRICANTES",
"AL-1253","ACEITE 20W 50 DIESEL",Lt,"3000",289.4,"ACEITES Y LUBRICANTES",
"AL-1396","LIQUIDO DE FRENO 350 ML",UNO,"2500",25,"ACEITES Y LUBRICANTES",
"AL-1486","LIQUIDO DE FRENO",Lt,"5500",0,"ACEITES Y LUBRICANTES",
"AL-1487","LIQUIDO LIMPIA INYECTORES",Lt,"4500",3,"ACEITES Y LUBRICANTES",
"AL-1488","ACEITE DE TRASMISION POMO 1LT",Lt,"3500",19,"ACEITES Y LUBRICANTES",
"AL-1702","GRASA CHASIS 1LT",UNO,"3500",27,"ACEITES Y LUBRICANTES",
"AL-1703","GRASA BALERO 1LT",UNO,"3500",18,"ACEITES Y LUBRICANTES",
"AL-1704","ACEITE MOLINOL 15W 40 1 LT",Lt,"4000",10,"ACEITES Y LUBRICANTES",
"AL-1705","ACEITE 15W 40 DIESEL",Lt,"3250",722.3,"ACEITES Y LUBRICANTES",
"AL-1728","GRASA CHASIS 4LT",UNO,"12000",16,"ACEITES Y LUBRICANTES",
"AL-1729","GRASA BALEROS 4LT",UNO,"12000",0,"ACEITES Y LUBRICANTES",
"AL-1755","ACEITE 2 TIEMPOS 250ML",UNO,"1500",84,"ACEITES Y LUBRICANTES",
"AL-1778","AGUA REFRIGERANTE 4LT",UNO,"5000",0,"ACEITES Y LUBRICANTES",
"AL-1783","ACEITE 2T 1LT",Lt,"3000",48,"ACEITES Y LUBRICANTES",
"AP-1722","DESODORANTE SPRAY OBAO",UNO,"2200",0,"ARTICULOS DE ASEO Y BELLEZA",
"AP-1754","CREMA DENTAL",UNO,"900",0,"ARTICULOS DE ASEO Y BELLEZA",
"AP-1767","PERFUME TRABAS",UNO,"3400",0,"ARTICULOS DE ASEO Y BELLEZA",
"B-1253","BOMBILLO 12V X10W",UNO,"350",4,"BOMBILLOS",
"B-1254","BOMB LED PARA PIZARRA 24 V",UNO,"250",202,"BOMBILLOS",
