familia,fecha,importe
"ACEITES Y LUBRICANTES","2026-06-01",89833.00
"ACEITES Y LUBRICANTES","2026-06-03",4000.00
"ACEITES Y LUBRICANTES","2026-06-04",3500.00
"ACEITES Y LUBRICANTES","2026-06-05",12000.00
"ACEITES Y LUBRICANTES","2026-06-06",3500.00
"ACEITES Y LUBRICANTES","2026-06-08",10000.00
"ACEITES Y LUBRICANTES","2026-06-09",4500.00
"ACEITES Y LUBRICANTES","2026-06-10",4500.00
"ACEITES Y LUBRICANTES","2026-06-11",30150.00
"ACEITES Y LUBRICANTES","2026-06-12",4500.00
"ACEITES Y LUBRICANTES","2026-06-14",1500.00
"ACEITES Y LUBRICANTES","2026-06-15",5000.00
"ACEITES Y LUBRICANTES","2026-06-16",19200.00
"ACEITES Y LUBRICANTES","2026-06-17",5600.00
"BATERIAS","2026-06-01",207600.00
"BATERIAS","2026-06-05",120000.00
"BATERIAS","2026-06-12",15000.00
"BATERIAS","2026-06-17",175000.00
"BOMBILLOS","2026-06-01",9750.00
"BOMBILLOS","2026-06-03",3100.00
"BOMBILLOS","2026-06-05",4550.00
"BOMBILLOS","2026-06-11",5200.00
"BOMBILLOS","2026-06-12",400.00
"BOMBILLOS","2026-06-15",7200.00
"ELECTROS","2026-06-01",219750.00
"ELECTROS","2026-06-03",35000.00
"ELECTROS","2026-06-04",135000.00
"ELECTROS","2026-06-05",165000.00
"ELECTROS","2026-06-06",105000.00
"ELECTROS","2026-06-08",238000.00
"ELECTROS","2026-06-10",74750.00
"ELECTROS","2026-06-11",39000.00
"ELECTROS","2026-06-13",160250.00
"ELECTROS","2026-06-14",59000.00
"ELECTROS","2026-06-15",42000.00
"ELECTROS","2026-06-16",84000.00
"ELECTROS","2026-06-17",126000.00
"FERRETERIA","2026-06-01",277030.00
"FERRETERIA","2026-06-03",526870.00
"FERRETERIA","2026-06-04",124210.00
"FERRETERIA","2026-06-05",144810.00
"FERRETERIA","2026-06-06",166890.00
"FERRETERIA","2026-06-08",94200.00
"FERRETERIA","2026-06-09",51760.00
"FERRETERIA","2026-06-10",55500.00
"FERRETERIA","2026-06-11",63160.00
"FERRETERIA","2026-06-12",38280.00
"FERRETERIA","2026-06-13",205500.00
"FERRETERIA","2026-06-14",47000.00
"FERRETERIA","2026-06-15",220100.00
"FERRETERIA","2026-06-16",34050.00
"FERRETERIA","2026-06-17",173475.00
"JOYERIA","2026-06-08",8000.00
"NEUMATICOS AUTO","2026-06-01",74000.00
"NEUMATICOS MOTO","2026-06-17",15000.00
"PIEZAS DE AUTO","2026-06-01",73700.00
"PIEZAS DE AUTO","2026-06-03",27500.00
"PIEZAS DE AUTO","2026-06-09",17200.00
"PIEZAS DE AUTO","2026-06-10",10000.00
"PIEZAS DE AUTO","2026-06-13",28500.00
"PIEZAS DE AUTO","2026-06-15",17500.00
"PIEZAS DE AUTO","2026-06-16",10000.00
"PIEZAS DE AUTO","2026-06-17",29000.00
"PIEZAS DE BICICLETA","2026-06-01",1200.00
"PIEZAS DE BICICLETA","2026-06-10",2100.00
"PIEZAS DE MOTO","2026-06-01",6300.00
"PIEZAS DE MOTO","2026-06-06",6500.00
"PIEZAS DE MOTO","2026-06-08",5150.00
"PIEZAS DE MOTO","2026-06-09",800.00
"PIEZAS DE MOTO","2026-06-10",3100.00
"PIEZAS DE MOTO","2026-06-11",4800.00
"PIEZAS DE MOTO","2026-06-12",350.00
"PIEZAS DE MOTO","2026-06-14",6500.00
"PIEZAS DE MOTO","2026-06-16",350.00
"PINTURAS","2026-06-01",16800.00
"PINTURAS","2026-06-03",40500.00
"PINTURAS","2026-06-05",12000.00
"PINTURAS","2026-06-06",9000.00
"PINTURAS","2026-06-08",34500.00
"PINTURAS","2026-06-09",20500.00
"PINTURAS","2026-06-10",33500.00
"PINTURAS","2026-06-11",15000.00
"PINTURAS","2026-06-12",61300.00
"PINTURAS","2026-06-13",1800.00
"PINTURAS","2026-06-15",5500.00
"PINTURAS","2026-06-16",22500.00
"RODAMIENTOS","2026-06-03",7000.00
"RODAMIENTOS","2026-06-08",1500.00
"RODAMIENTOS","2026-06-09",800.00
"RODAMIENTOS","2026-06-11",1600.00
"RODAMIENTOS","2026-06-15",6000.00
